,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      0.567045, , 
    -608.6762,     0.2120253, , 
    -570.2442,    0.04103117, , 
    -517.7709,    0.02192598, , 
    -452.5483,    0.02036416, , 
    -376.1826,    0.01899023, , 
    -290.5539,     0.0177863, , 
    -197.7709,    0.01690465, , 
    -100.1181,    0.01637052, , 
-1.033947e-12,    0.01620456, , 
     100.1181,    0.01637052, , 
     197.7709,    0.01690465, , 
     290.5539,     0.0177863, , 
     376.1826,    0.01899023, , 
     452.5483,    0.02036416, , 
     517.7709,    0.02192598, , 
     570.2442,    0.04103117, , 
     608.6762,     0.2120253, , 
     632.1205,      0.567045, , 

