,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5987042, , 
    -608.6762,     0.5323727, , 
    -570.2442,     0.3007432, , 
    -517.7709,    0.07799148, , 
    -452.5483,    0.04839113, , 
    -376.1826,    0.03876996, , 
    -290.5539,    0.03332082, , 
    -197.7709,    0.02911926, , 
    -100.1181,     0.0266174, , 
-1.033947e-12,    0.02583643, , 
     100.1181,     0.0266174, , 
     197.7709,    0.02911926, , 
     290.5539,    0.03332082, , 
     376.1826,    0.03876996, , 
     452.5483,    0.04839113, , 
     517.7709,    0.07799148, , 
     570.2442,     0.3007432, , 
     608.6762,     0.5323727, , 
     632.1205,     0.5987042, , 

