,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5412738, , 
    -608.6762,    0.05464746, , 
    -570.2442,    0.02158728, , 
    -517.7709,    0.01825032, , 
    -452.5483,    0.01441363, , 
    -376.1826,    0.01214473, , 
    -290.5539,    0.01570702, , 
    -197.7709,    0.01203327, , 
    -100.1181,    0.01829399, , 
-1.033947e-12,    0.01225072, , 
     100.1181,    0.01829399, , 
     197.7709,    0.01203327, , 
     290.5539,    0.01570702, , 
     376.1826,    0.01214473, , 
     452.5483,    0.01441363, , 
     517.7709,    0.01825032, , 
     570.2442,    0.02158728, , 
     608.6762,    0.05464746, , 
     632.1205,     0.5412738, , 

