,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5892433, , 
    -608.6762,     0.4904728, , 
    -570.2442,     0.0825746, , 
    -517.7709,    0.04053283, , 
    -452.5483,    0.02666111, , 
    -376.1826,    0.02176304, , 
    -290.5539,    0.02117513, , 
    -197.7709,    0.02068213, , 
    -100.1181,    0.02041488, , 
-1.033947e-12,    0.02032969, , 
     100.1181,    0.02041488, , 
     197.7709,    0.02068213, , 
     290.5539,    0.02117513, , 
     376.1826,    0.02176304, , 
     452.5483,    0.02666111, , 
     517.7709,    0.04053283, , 
     570.2442,     0.0825746, , 
     608.6762,     0.4904728, , 
     632.1205,     0.5892433, , 

