,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6265845, , 
    -608.6762,     0.5874713, , 
    -570.2442,     0.5504739, , 
    -517.7709,     0.5246846, , 
    -452.5483,     0.4953905, , 
    -376.1826,     0.4720098, , 
    -290.5539,     0.4140957, , 
    -197.7709,     0.3755805, , 
    -100.1181,      0.355179, , 
-1.033947e-12,      0.348802, , 
     100.1181,      0.355179, , 
     197.7709,     0.3755805, , 
     290.5539,     0.4140957, , 
     376.1826,     0.4720098, , 
     452.5483,     0.4953905, , 
     517.7709,     0.5246846, , 
     570.2442,     0.5504739, , 
     608.6762,     0.5874713, , 
     632.1205,     0.6265845, , 

