,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5956448, , 
    -608.6762,      0.520698, , 
    -570.2442,     0.1745659, , 
    -517.7709,    0.06051772, , 
    -452.5483,    0.04018647, , 
    -376.1826,     0.0320901, , 
    -290.5539,    0.02474721, , 
    -197.7709,     0.0221089, , 
    -100.1181,    0.02194061, , 
-1.033947e-12,     0.0218858, , 
     100.1181,    0.02194061, , 
     197.7709,     0.0221089, , 
     290.5539,    0.02474721, , 
     376.1826,     0.0320901, , 
     452.5483,    0.04018647, , 
     517.7709,    0.06051772, , 
     570.2442,     0.1745659, , 
     608.6762,      0.520698, , 
     632.1205,     0.5956448, , 

