,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6124451, , 
    -608.6762,     0.5540941, , 
    -570.2442,     0.5021446, , 
    -517.7709,     0.3394019, , 
    -452.5483,     0.1405115, , 
    -376.1826,    0.09497097, , 
    -290.5539,    0.07295765, , 
    -197.7709,     0.0657309, , 
    -100.1181,    0.06227578, , 
-1.033947e-12,     0.0611517, , 
     100.1181,    0.06227578, , 
     197.7709,     0.0657309, , 
     290.5539,    0.07295765, , 
     376.1826,    0.09497097, , 
     452.5483,     0.1405115, , 
     517.7709,     0.3394019, , 
     570.2442,     0.5021446, , 
     608.6762,     0.5540941, , 
     632.1205,     0.6124451, , 

