,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5448558, , 
    -608.6762,    0.06056335, , 
    -570.2442,    0.02183634, , 
    -517.7709,     0.0189255, , 
    -452.5483,    0.01575314, , 
    -376.1826,    0.01233333, , 
    -290.5539,    0.01663649, , 
    -197.7709,    0.01231135, , 
    -100.1181,    0.01897874, , 
-1.033947e-12,    0.01235367, , 
     100.1181,    0.01897874, , 
     197.7709,    0.01231135, , 
     290.5539,    0.01663649, , 
     376.1826,    0.01233333, , 
     452.5483,    0.01575314, , 
     517.7709,     0.0189255, , 
     570.2442,    0.02183634, , 
     608.6762,    0.06056335, , 
     632.1205,     0.5448558, , 

