,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6610711, , 
    -608.6762,     0.6621546, , 
    -570.2442,     0.6659295, , 
    -517.7709,     0.6685072, , 
    -452.5483,     0.6703389, , 
    -376.1826,     0.6715947, , 
    -290.5539,     0.6724154, , 
    -197.7709,     0.6729177, , 
    -100.1181,     0.6731872, , 
-1.033947e-12,     0.6732722, , 
     100.1181,     0.6731872, , 
     197.7709,     0.6729177, , 
     290.5539,     0.6724154, , 
     376.1826,     0.6715947, , 
     452.5483,     0.6703389, , 
     517.7709,     0.6685072, , 
     570.2442,     0.6659295, , 
     608.6762,     0.6621546, , 
     632.1205,     0.6610711, , 

