,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5609641, , 
    -608.6762,     0.1576182, , 
    -570.2442,       0.03723, , 
    -517.7709,    0.02154218, , 
    -452.5483,    0.01976585, , 
    -376.1826,    0.01803378, , 
    -290.5539,    0.01657077, , 
    -197.7709,    0.01537718, , 
    -100.1181,    0.01458875, , 
-1.033947e-12,    0.01435306, , 
     100.1181,    0.01458875, , 
     197.7709,    0.01537718, , 
     290.5539,    0.01657077, , 
     376.1826,    0.01803378, , 
     452.5483,    0.01976585, , 
     517.7709,    0.02154218, , 
     570.2442,       0.03723, , 
     608.6762,     0.1576182, , 
     632.1205,     0.5609641, , 

