,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6077481, , 
    -608.6762,     0.5480878, , 
    -570.2442,     0.4819032, , 
    -517.7709,     0.1876612, , 
    -452.5483,    0.09298023, , 
    -376.1826,    0.06497368, , 
    -290.5539,    0.05447837, , 
    -197.7709,    0.04740479, , 
    -100.1181,    0.04439733, , 
-1.033947e-12,    0.04385713, , 
     100.1181,    0.04439733, , 
     197.7709,    0.04740479, , 
     290.5539,    0.05447837, , 
     376.1826,    0.06497368, , 
     452.5483,    0.09298023, , 
     517.7709,     0.1876612, , 
     570.2442,     0.4819032, , 
     608.6762,     0.5480878, , 
     632.1205,     0.6077481, , 

